ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,teff_gspphot
47.56164497536943,36.89293433392508,1.6255807393312018,0.04547224,12.93503461153682,-3.829653585397292,15.727794,1.5253754,4609.786
47.79029214625497,36.83863611937967,0.8818399434471295,0.026990363,5.881437533419717,8.118405022946959,14.741889,1.0687256,6016.433
47.94018735334008,36.930898188953336,0.7770970451720373,0.028244061,-1.4520164739534194,-0.5263475493150813,14.252793,0.88313675,6935.325
47.80847067088585,36.99043123364063,0.5033020778680389,0.031712294,4.29047429606408,-3.302082767233524,14.2864685,0.59936047,8429.055
47.772480016079385,37.083185436990966,0.8171144108987453,0.065335944,-3.9444568507775903,-5.051286759051894,16.068224,1.1086922,5047.01
48.68341664843386,36.923266013185646,0.518384094825538,0.037125334,-2.525024185083476,-0.2277859443957133,15.426321,0.99067307,5567.801
48.29171894144208,36.81735064306928,1.3465896080346265,0.029275604,-2.620923611621026,-0.1519590517892217,14.437362,1.142909,5844.3604
48.34416357014153,36.86341989286355,0.9892254752896724,0.039506573,-0.5536771770495394,1.4515755453913877,15.059711,1.2022066,5925.345
48.28677162336342,36.86230138727746,0.2753446127625248,0.018750925,-1.2650711986681942,-1.2306023238022288,12.748897,1.6501255,4779.328
48.46846023087844,36.91438550815546,1.9285733317429508,0.14713785,27.86731837927961,-11.541080608819115,17.932764,2.331337,3677.7183
48.53602337961777,36.927254032863445,1.2698413701781313,0.04912041,-1.0238716136218566,-3.805499649418662,15.901202,1.4199677,5150.379199999999
48.64767158160342,36.97841999572746,0.4460223512406449,0.042944178,3.019384448587374,-0.4910132674774151,15.695735,1.0372458,5745.11
48.65929394430915,36.97504841578831,1.2415438380448929,0.017608024,-0.507902558565584,-2.748933183268934,13.581771,1.0142174,5915.6045
48.42520419391303,37.042414098782565,2.047296095411028,0.1083507,7.506988416525268,-4.886747125715936,17.240683,2.176958,3576.9358
48.76277428256424,36.96220253318753,0.6730857324561661,0.035429873,0.534245642127145,-2.7836391948624675,14.8870945,1.0299511,5652.8145
48.75344483719259,36.979317801005145,0.8662670154589293,0.050963722,0.7095928384013013,0.0774525428537294,16.015799,1.1572685,4821.2915
49.07409769058702,37.10155504087401,1.4874393521266385,0.08506403,-7.832255058247433,-4.183319320809506,12.144286,0.8480015,6468.952
49.00871492570349,37.05214933263998,1.3003404104151113,0.020666108,13.698876021248251,7.024159903639877,13.981436,1.0112286,5709.2793
49.138253640125015,37.193948697418165,2.683236987505568,0.02658955,-22.568101113776,-16.96772790115138,14.349153,1.4267864,4692.4443
49.165811185878255,37.21374345000203,0.942125476117786,0.06695492,-0.8259164894913678,-4.773246697367861,13.397897,1.0416365,6280.7607
49.038133918032095,37.20415366301659,0.4771835862498161,0.043996006,0.9351602443030156,-1.2065564891887042,15.7986765,1.0861788,5782.1167
48.72819060806503,37.15352073719668,1.324140384723204,0.014561001,0.379234400932723,1.2705207782836667,12.290977,1.3467617,4899.4937
