PC1,PC2,PC3,PC4,hierarchical_cluster
3.536195086241834,0.0206360876695529,2.392941654750783,-0.8227814970895129,0
-1.8871021899865856,-0.6305985196245364,0.2214542583442352,0.1143867223076118,2
-1.140792122156381,-0.8671437177905209,-0.367880317053736,-0.5949276284850215,2
-1.5083840974445677,-0.5626829944081501,0.2666230437356388,0.241089331688235,2
-2.6264486225646944,-1.272754766731287,-0.852055916528645,-0.8391554073149442,2
3.7510744684975776,-0.8399109567152164,-1.4231164870413957,2.033530922402559,0
2.82560537122934,-0.6391580392723206,0.0253424455779478,1.2542988012521945,0
-0.270462003911634,-0.6269232236931631,0.5559576787104653,-0.2692208017847153,2
0.3688927089818435,-0.9605169067846916,-1.1408184254111196,0.4941954335945132,2
0.1559662021136635,-0.8881621216273674,0.6374980062968703,0.6419284984786674,2
-0.1136837786692483,-1.1704736238248503,0.836340914343904,0.3078216161386809,2
-0.1317812205376011,1.5690631365799463,-0.0001521689465359,0.4778617014285686,1
0.6637106608213461,-0.4427802922344654,0.9312326796461262,0.1066285067563067,2
0.0016634590278075,-1.1285361392100273,0.196052265142686,1.035817753732421,2
0.3466320405259283,3.118599177847649,0.1497241591480575,0.0899391989055385,1
-1.4717023304751975,-1.4717323902498114,-1.0429495318265465,-1.0815629714614166,2
-0.2940150152151687,-0.2825468542906725,-0.3422687478730904,0.172273088587552,2
-0.8756975407615228,2.385391109862789,-0.0341111374665409,0.0929183207186088,1
-0.8554497620554353,-1.0369955465413807,0.6110958202451021,-0.0346302888975998,2
0.3106305980128784,-0.542320545155768,-0.8328408851796733,-0.1400093067560918,2
0.3664560948936775,-0.5855843746465998,-0.0793827303901323,-0.0934630304345354,2
-2.232472961998745,2.3179805936561717,-0.3862951541838593,0.5546697705299778,1
-0.1308572122225749,2.8519810767695364,-0.1290379726382082,0.0034259318888911,1
-1.5482104892590671,-0.5820735760896638,0.2287829377791389,-0.0962475964347091,2
-1.1526387802796725,2.608102503071678,0.0212552754631571,0.181729479733237,1
-1.7246166016464304,-0.7953990389326039,-0.2550968392016972,-0.2178015347472454,2
-1.6430645359876697,-0.3313487710692602,0.0353528722683394,-0.0742947752799377,2
-0.9269257308078312,2.5823792682904183,-0.0716672444291047,0.5615698555947534,1
0.2874609729569814,2.7409119439320246,0.1385257943843708,0.465033232518786,1
-1.2323415251601328,2.5412548707139004,-0.013852551360605,0.1768623067153131,1
-1.4715960008786548,2.2588106117093254,-0.5012925468109045,-0.2296450273529437,1
5.117474348584223,-0.1518147430210757,1.3481163022881475,-0.963266378631169,0
-0.8037871672703202,2.472193713246734,0.0055152206232316,0.3083449752303025,1
